path,label
data\raw\metal\b8c420d3-87ee-4316-8658-35be2f96fc7b.jpg,4
data\raw\paper\f062538e-11e2-44a4-bb8b-3b748289bc00.jpg,1
data\raw\cardboard\a4b199b6-13b8-4965-a28e-3219fadd1cd7.jpg,2
data\raw\plastic\bc633ea7-75c5-4868-80ca-50d61c0569f5.jpg,3
data\raw\paper\4b132dc4-06bb-4bb1-892e-ef5afed7b76c.jpg,1
data\raw\paper\11727302-45e9-486e-a699-7e03a97feebe.jpg,1
data\raw\plastic\f918d697-9285-4cea-8a2b-ebeccc6fbbcc.jpg,3
data\raw\glass\2ef87519-0a5b-4dc1-b054-2857c0426d79.jpg,0
data\raw\glass\e9885488-acc7-4d2d-8468-3e7f1bbbd66b.jpg,0
data\raw\glass\7b75102b-32ef-423b-bd0f-c5b67c7ee4fc.jpg,0
data\raw\paper\902beee6-200f-408b-8b61-42a57d2e522a.jpg,1
data\raw\glass\d43d5339-b1c3-4193-9c03-650806087f93.jpg,0
data\raw\glass\a9cd8859-c87c-48e7-85db-8fc64b1f20c7.jpg,0
data\raw\trash\7b9e10b9-dc9c-4f02-92ef-dd074b415f70.jpg,5
data\raw\paper\be9d5247-251e-4eaa-a25d-ad32c6ebec6b.jpg,1
data\raw\metal\a9fbae50-403c-4cf1-a0d5-45add0a76834.jpg,4
data\raw\paper\352669fc-aefd-45c5-9e5f-9e9bf2629e0b.jpg,1
data\raw\glass\46e0469a-c98c-4e87-9a53-5fe50eca7611.jpg,0
data\raw\glass\021f2594-7af3-45e4-b0a5-50f564ac9f1d.jpg,0
data\raw\plastic\92d92864-cda8-4307-b816-ff9e58220da0.jpg,3
data\raw\paper\b5ad6f0b-9c5d-403b-a780-91fb853b5dbf.jpg,1
data\raw\paper\a5d8ca43-ee18-403e-b5d1-1b2adf9096ca.jpg,1
data\raw\paper\1333e4f2-47a9-4cb2-b51c-b526c149263d.jpg,1
data\raw\metal\737fda3c-d36a-44e6-8941-9fab3e2f3e70.jpg,4
